Type, Threads, Time, Evaluations
vg, 10, 15.699816, 186459
dis, 6, 18.947489, 199326
vg, 6, 24.145381, 174968
vg, 2, 450.008439, 1471886
vp, 4, 74.106918, 481275
dis-v2, 4, 36.374744, 166990
dis-v2, 6, 22.952734, 168344
dis-v2, 8, 16.944887, 176284
vp, 2, 174.455933, 600782
vg, 8, 9.808165, 101774
vp, 8, 13.198744, 157800
dis, 6, 21.284682, 163599
dis-v2, 4, 40.327019, 287173
vp, 2, 75.36936, 273946
dis, 4, 28.650581, 141831
dis-v2, 4, 29.675714, 199193
dis, 6, 15.441121, 120095
dis, 4, 40.860554, 221755
vp, 6, 12.471188, 114071
vp, 8, 16.247524, 195191
vg, 4, 78.781769, 423534
vg, 8, 14.971612, 167706
vg, 6, 18.794412, 153040
dis, 6, 33.471505, 250358
dis-v2, 6, 23.647389, 170708
vp, 4, 53.853225, 341274
vg, 4, 40.366666, 220749
vg, 4, 57.514954, 308838
vp, 4, 57.494859, 285463
vp, 2, 243.888408, 845244
dis-v2, 2, 426.744847, 1516214
vg, 8, 19.604119, 185656
dis, 4, 24.795708, 126657
dis, 6, 30.569671, 225970
dis-v2, 8, 23.185617, 201687
vg, 10, 15.817225, 172552
dis, 6, 27.867856, 216640
dis, 4, 35.224962, 265763
vp, 10, 17.14991, 197875
vg, 4, 26.725949, 188232
vp, 10, 10.132351, 113783
vg, 6, 21.136885, 200608
vg, 10, 17.2037, 203766
dis-v2, 4, 203.593393, 942007
dis, 8, 17.36138, 163206
dis, 4, 59.387029, 326330
dis-v2, 4, 35.707586, 167216
dis-v2, 6, 32.734146, 228709
vg, 6, 24.152127, 163879
vg, 4, 36.602268, 259119
dis, 8, 17.924422, 166375
vg, 2, 51.092149, 203698
dis, 4, 43.461072, 301670
vg, 2, 416.752934, 1596726
vp, 6, 17.922493, 161343
vp, 10, 12.455, 154584
vg, 4, 22.898874, 161356
dis-v2, 2, 828.959279, 3080765
vg, 6, 14.716047, 140902
dis-v2, 2, 1113.792091, 3939336
vg, 10, 12.357867, 145405
vg, 2, 256.02229, 888068
vg, 2, 570.677625, 1919261
vp, 2, 45.061474, 159692
dis-v2, 4, 82.638116, 371792
dis, 8, 14.938203, 155746
dis-v2, 6, 26.210009, 193406
dis-v2, 8, 18.923866, 171273
dis, 2, 144.28807, 526025
dis, 4, 92.228397, 440547
dis, 2, 834.547669, 3079413
dis-v2, 8, 13.432884, 124220
vg, 2, 87.530907, 325450
vp, 10, 11.279056, 139154
vg, 2, 402.872915, 1551372
dis, 2, 388.540781, 1461687
dis, 4, 46.269051, 221508
dis-v2, 8, 17.660292, 169292
vg, 6, 34.510228, 253520
vp, 2, 1087.913112, 3684594
vg, 8, 16.419085, 144590
dis, 2, 104.818937, 389086
dis-v2, 2, 271.932091, 986603
vp, 8, 19.42285, 205166
dis-v2, 6, 21.589588, 158731
vp, 4, 66.11644, 455255
vp, 10, 10.073121, 127242
dis-v2, 2, 568.033111, 2045155
dis, 6, 39.883124, 311309
vg, 4, 60.823724, 281534
vp, 8, 8.666658, 103207
vp, 2, 829.9982, 2853300
vg, 6, 43.38946, 319599
vg, 8, 20.168582, 180563
vp, 6, 16.017607, 124358
dis-v2, 2, 142.332335, 517082
vp, 6, 17.204755, 151055
vp, 10, 9.655727, 123506
vg, 10, 12.61239, 141393
dis-v2, 2, 156.46845, 563740
dis, 4, 54.918798, 258986
dis-v2, 8, 14.076965, 127010
vp, 10, 13.334431, 153838
dis, 2, 124.53104, 466452
vp, 4, 44.337924, 222203
dis-v2, 2, 648.59553, 2172126
vp, 2, 621.981818, 2098545
vg, 10, 15.590668, 185619
vp, 4, 32.014119, 213607
dis, 6, 28.011178, 201294
vg, 4, 36.756922, 266487
vp, 6, 22.158406, 219855
vp, 8, 14.162247, 168052
dis-v2, 4, 63.347918, 342875
vg, 8, 19.596373, 188453
dis-v2, 2, 368.150269, 1319759
vp, 4, 24.552615, 169721
vg, 6, 20.458089, 154289
vp, 2, 926.534357, 3161572
vp, 4, 33.873298, 213182
dis, 6, 35.11104, 318321
vp, 6, 22.295864, 201976
vg, 6, 25.573539, 238099
vp, 10, 9.914548, 111789
vg, 2, 207.976979, 777844
dis-v2, 8, 22.054895, 195207
vg, 8, 19.783277, 200364
vp, 2, 306.58257, 1049793
